epsilon_radius,adjacent_order,reduced_jump_real,reduced_jump_imag,approx_real,approx_imag,relative_error
2.500000000000000000e-01,2.000000000000000000e+00,1.040556435531698298e+00,5.531730980446011858e-02,1.052130843824998552e+00,4.597891505343389140e-02,1.427207594671671062e-02
2.500000000000000000e-01,4.000000000000000000e+00,1.040556435531698298e+00,5.531730980446011858e-02,1.050251661852992235e+00,4.765442284355681651e-02,1.185947841647485949e-02
2.500000000000000000e-01,9.000000000000000000e+00,1.040556435531698298e+00,5.531730980446011858e-02,1.050957789381492979e+00,4.652439249483838329e-02,1.307066434099394235e-02
2.750000000000000222e-01,0.000000000000000000e+00,1.045735218889384477e+00,6.872413787040963784e-02,1.000000000000000000e+00,0.000000000000000000e+00,7.877100160612440782e-02
2.750000000000000222e-01,1.000000000000000000e+00,1.045735218889384477e+00,6.872413787040963784e-02,1.057396742157099112e+00,5.102456381129719110e-02,2.022526600805725494e-02
2.750000000000000222e-01,2.000000000000000000e+00,1.045735218889384477e+00,6.872413787040963784e-02,1.057338646812538085e+00,5.053203083352529601e-02,2.058947803579835173e-02
2.750000000000000222e-01,4.000000000000000000e+00,1.045735218889384477e+00,6.872413787040963784e-02,1.054724028116623469e+00,5.278926727431425964e-02,1.745751770333548933e-02
2.750000000000000222e-01,9.000000000000000000e+00,1.045735218889384477e+00,6.872413787040963784e-02,1.056634746331774899e+00,5.076699099691459743e-02,2.004421922469785608e-02
2.999999999999999889e-01,0.000000000000000000e+00,1.054407500455289082e+00,8.304211199772716656e-02,1.000000000000000000e+00,0.000000000000000000e+00,9.386481669586795029e-02
2.999999999999999889e-01,1.000000000000000000e+00,1.054407500455289082e+00,8.304211199772716656e-02,1.062614627807744627e+00,5.566316052141510873e-02,2.702403636421616198e-02
2.999999999999999889e-01,2.000000000000000000e+00,1.054407500455289082e+00,8.304211199772716656e-02,1.062545489546449007e+00,5.507700557266177743e-02,2.753701533326171139e-02
2.999999999999999889e-01,4.000000000000000000e+00,1.054407500455289082e+00,8.304211199772716656e-02,1.059003743632632277e+00,5.804274173970399436e-02,2.403237097455725862e-02
2.999999999999999889e-01,9.000000000000000000e+00,1.054407500455289082e+00,8.304211199772716656e-02,1.063476152169911648e+00,5.461019538319413641e-02,2.821588104169934358e-02
3.250000000000000111e-01,0.000000000000000000e+00,1.066562894253231697e+00,9.690643453216610248e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.097755157426163614e-01
3.250000000000000111e-01,1.000000000000000000e+00,1.066562894253231697e+00,9.690643453216610248e-02,1.067832513458389920e+00,6.030175723153303330e-02,3.419998642233833958e-02
3.250000000000000111e-01,2.000000000000000000e+00,1.066562894253231697e+00,9.690643453216610248e-02,1.067751372026730428e+00,5.961383927084335649e-02,3.483945180887427356e-02
3.250000000000000111e-01,4.000000000000000000e+00,1.066562894253231697e+00,9.690643453216610248e-02,1.063061125842549526e+00,6.342930295557366871e-02,3.142964928827646914e-02
3.250000000000000111e-01,9.000000000000000000e+00,1.066562894253231697e+00,9.690643453216610248e-02,1.072566888330973134e+00,5.786749894959056228e-02,3.688099299019165223e-02
3.499999999999999778e-01,0.000000000000000000e+00,1.081695431630519399e+00,1.092692133792325382e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.254900022298049700e-01
3.499999999999999778e-01,1.000000000000000000e+00,1.081695431630519399e+00,1.092692133792325382e-01,1.073050399109035435e+00,6.494035394165095787e-02,4.154153262431134475e-02
3.499999999999999778e-01,2.000000000000000000e+00,1.081695431630519399e+00,1.092692133792325382e-01,1.072956294253383014e+00,6.414253192807002624e-02,4.227839986658406962e-02
3.499999999999999778e-01,4.000000000000000000e+00,1.081695431630519399e+00,1.092692133792325382e-01,1.066864446913835751e+00,6.896389693433829793e-02,3.950271683562770614e-02
3.499999999999999778e-01,9.000000000000000000e+00,1.081695431630519399e+00,1.092692133792325382e-01,1.085675626756696932e+00,6.031951589202402819e-02,4.517221332403949935e-02
