g,exact,optimal_truncation,borel_pade,n_opt,relerr_optimal,relerr_borel_pade
1.647826086956521718e-01,9.195686305571739716e-01,9.655098357750471205e-01,9.195686300713366013e-01,3.000000000000000000e+00,4.995951763821804975e-02,5.283318223239949664e-10
1.683333333333333348e-01,9.183471660948153703e-01,9.667278645833332629e-01,9.183471655284238810e-01,3.000000000000000000e+00,5.268236269977534525e-02,6.167509523371195749e-10
1.718840579710144978e-01,9.171384131869867451e-01,9.680286310649023340e-01,9.171384125294227418e-01,3.000000000000000000e+00,5.548804536610338345e-02,7.169735710480461463e-10
1.754347826086956608e-01,9.159420889171872027e-01,9.694121352197541119e-01,9.159420881567932327e-01,3.000000000000000000e+00,5.837710369416300449e-02,8.301769066107063415e-10
1.789855072463768237e-01,9.147579203392592895e-01,9.708783770478889297e-01,9.147579194632724509e-01,3.000000000000000000e+00,6.135006372813482656e-02,9.576160196538461109e-10
1.825362318840579867e-01,9.135856439915529537e-01,9.724273565493067872e-01,9.135856429860398364e-01,3.000000000000000000e+00,6.440744000821654880e-02,1.100622720843727729e-09
1.860869565217391497e-01,9.124250054414112521e-01,9.740590737240074626e-01,9.124250042911987713e-01,3.000000000000000000e+00,6.754973604957154043e-02,1.260610432590665061e-09
1.896376811594203127e-01,9.112757588576634316e-01,9.757735285719911777e-01,9.112757575462688830e-01,3.000000000000000000e+00,7.077744479363679009e-02,1.439075423396232602e-09
1.931884057971014479e-01,9.101376666090312817e-01,9.775707210932577107e-01,9.101376651185915101e-01,3.000000000000000000e+00,7.409104903378722906e-02,1.637598163752466678e-09
1.967391304347826109e-01,9.090104988865282953e-01,9.794506512878070614e-01,9.090104971977289727e-01,3.000000000000000000e+00,7.749102181719884352e-02,1.857843583409046111e-09
2.002898550724637738e-01,9.078940333481136937e-01,9.814133191556394520e-01,9.078940314401140466e-01,3.000000000000000000e+00,8.097782682457201064e-02,2.101566457188569601e-09
2.038405797101449368e-01,9.067880547839901606e-01,9.834587246967547713e-01,9.067880526343499170e-01,3.000000000000000000e+00,8.455191872926541563e-02,2.370609352699610786e-09
2.073913043478260998e-01,9.056923548010940017e-01,9.855868679111530195e-01,9.056923523856988956e-01,3.000000000000000000e+00,8.821374353723594741e-02,2.666904598834025008e-09
2.109420289855072628e-01,9.046067315254334718e-01,9.877977487988341965e-01,9.046067288184179711e-01,3.000000000000000000e+00,9.196373890907948156e-02,2.992477732375678446e-09
2.144927536231884257e-01,9.035309893210426990e-01,9.900913673597981912e-01,9.035309862947131787e-01,3.000000000000000000e+00,9.580233446536370878e-02,3.349447397029666640e-09
2.180434782608695610e-01,9.024649385244248867e-01,9.924677235940452258e-01,9.024649351491818017e-01,3.000000000000000000e+00,9.972995207634256787e-02,3.740026832004053174e-09
2.215942028985507239e-01,9.014083951934406258e-01,9.949268175015751892e-01,9.014083914377012396e-01,3.000000000000000000e+00,1.037470061370636271e-01,4.166523638102584039e-09
2.251449275362318869e-01,9.003611808696894148e-01,9.974686490823880813e-01,9.003611766998086408e-01,3.000000000000000000e+00,1.078539038287937568e-01,4.631342246430221983e-09
2.286956521739130499e-01,8.993231223534998708e-01,8.284782608695651085e-01,8.993231177336897808e-01,2.000000000000000000e+00,7.877575892693164383e-02,5.136985778753467644e-09
2.322463768115942129e-01,8.982940514907088447e-01,8.258152173913042571e-01,8.982940463829593991e-01,2.000000000000000000e+00,8.068497612683372955e-02,5.686055069767651033e-09
2.357971014492753759e-01,8.972738049704842567e-01,8.231521739130434057e-01,8.972737993344824803e-01,2.000000000000000000e+00,8.260759496916225686e-02,6.281250767789098749e-09
2.393478260869565388e-01,8.962622241334902151e-01,8.204891304347824432e-01,8.962622179265404831e-01,2.000000000000000000e+00,8.454344237476425772e-02,6.925372468943716914e-09
2.428985507246377018e-01,8.952591547897563728e-01,8.178260869565215918e-01,8.952591479666975882e-01,2.000000000000000000e+00,8.649234963860184811e-02,7.621322550156213357e-09
2.464492753623188648e-01,8.942644470456432293e-01,8.151630434782607404e-01,8.942644395587695527e-01,2.000000000000000000e+00,8.845415226861316760e-02,8.372102571348665609e-09
2.500000000000000000e-01,8.932779551393641437e-01,8.124999999999998890e-01,8.932779469383425042e-01,2.000000000000000000e+00,9.042868983233974534e-02,9.180817227584006033e-09
