axis,value,threshold,T,kappa,theta,xi,rho,p_star,rate,pole1,pole2,p1,delta_real,delta_imag,monodromy_pred,monodromy_rel_error,stokes_angle,lambda2_adj_abs,tau_max,selected_branch,intersection_below,intersection_above,wall_min_distance
rho,-0.3,-0.25,1,2,0.04,0.45,-0.3,-3.51077320878775,0.472160666127782,-7.87728970307403,-20.1667466979175,-9.95633783825392,2.50093601103106,2.48224604728082,2.48224604728082,0,0.781647572731756,0.286625123443934,90,1,0,-1,0.0113814570639747
rho,0,-0.25,1,2,0.04,0.45,0,-4.29816670482975,0.557514222232281,-9.56498844553637,-21.7896746423792,-12.7115871975982,2.18691413718255,2.48224604728082,2.48224604728082,0,0.848565626033747,0.0467492067536572,513.377694865859,1,0,-1,5.88521488508141e-05
xi,0.25,-0.25,1,2,0.04,0.25,-0.7,-3.74497651926431,0.486470137532663,-11.8772665543004,-37.9502906377741,-15.0158416449036,7.07880046417589,8.04247719318987,8.04247719318987,0,0.849041941742856,0.440560472601776,90,1,0,-1,0.0233945245763298
xi,0.35,-0.25,1,2,0.04,0.35,-0.7,-3.24467170274094,0.437181727535721,-8.38949944569378,-26.9288641088441,-10.4901920886839,4.13875317698063,4.10330469040299,4.103304690403,2.16454415821823e-16,0.781097263236904,0.558896080694656,90,1,0,-1,0.0010894893014351
xi,0.45,-0.25,1,2,0.04,0.45,-0.7,-2.84956107804022,0.396018751740672,-6.45309394919751,-20.8071831298781,-7.99832213980422,2.79224016246684,2.48224604728082,2.48224604728082,0,0.726693312478038,0.682102187388882,90,1,0,-1,7.96292752899505e-05
xi,0.6,-0.25,1,2,0.04,0.6,-0.7,-2.39512674732865,0.34580801424393,-4.76045151983808,-15.4525668253616,-5.83930500640313,1.78958446826803,1.39626340159546,1.39626340159546,1.59027734073176e-16,0.66256091028958,0.87582770799012,90,1,0,-1,5.49848158995028e-05
xi,0.8,-0.25,1,2,0.04,0.8,-0.7,-1.95937189553735,0.29428929308342,-3.49330386632524,-11.4391632637064,-4.24027151522084,1.1515653965847,0.785398163397448,0.785398163397448,1.41357985842823e-16,0.598561115961613,1.15016854545597,90,1,0,-1,3.86633322579691e-05
kappa,0.75,-0.25,1,0.75,0.04,0.45,-0.7,-2.38881886746653,0.343123003419474,-5.27245966764601,-22.2812512661188,-7.40778295805147,3.06438629811847,0.930842267730309,0.930842267730309,0,0.294904036453225,0.3217798227641,90,1,0,-1,3.18888307822799e-05
kappa,1.25,-0.25,1,1.25,0.04,0.45,-0.7,-2.58010810147115,0.365630084638019,-5.73526885991266,-21.5792036595379,-7.59903107938592,3.00674909389234,1.55140377955052,1.55140377955052,0,0.476344839367697,0.439093462772185,90,1,0,-1,4.66846000896541e-05
kappa,2,-0.25,1,2,0.04,0.45,-0.7,-2.84956107804022,0.396018751740672,-6.45309394919751,-20.8071831298781,-7.99832213980422,2.79224016246684,2.48224604728082,2.48224604728082,0,0.726693312478038,0.682102187388882,90,1,0,-1,7.96292752899505e-05
kappa,3,-0.25,1,3,0.04,0.45,-0.7,-3.17157909900673,0.430475899084472,-7.44924738665601,-20.205003840163,-8.68134007933175,2.28316607315447,3.72336907092124,3.72336907092124,0,1.02072818862903,1.18379094939049,90,1,0,-1,0.000148143115236056
kappa,4,-0.25,1,4,0.04,0.45,-0.7,-3.4494131997322,0.458747100181638,-8.48381071489159,-19.976277529326,-9.48679329501684,1.53173868912433,4.96449209456165,4.96449209456165,0,1.2715242501249,1.98647319638752,90,1,0,-1,0.000391106774787346
