T,rho,p0,p1,pole1,pole2,delta_real,delta_imag,stokes_angle
9.499999999999999556e-01,-2.319047619047619468e-01,-3.831187276200004543e+00,-1.090887067732458604e+01,-8.510258432331646361e+00,-2.144554919282421324e+01,2.626158474743674809e+00,2.482246047280824097e+00,7.572339150121676354e-01
9.499999999999999556e-01,-2.028571428571428470e-01,-3.902631653738525053e+00,-1.113579268482597051e+01,-8.661148809621106892e+00,-2.156677124982440574e+01,2.598590149633288604e+00,2.482246047280824097e+00,7.625035512970570473e-01
9.499999999999999556e-01,-1.738095238095238582e-01,-3.977160591366538878e+00,-1.137640690741829452e+01,-8.818437017351445917e+00,-2.170374804757755882e+01,2.570073227302382968e+00,2.482246047280824097e+00,7.680163769152843489e-01
9.499999999999999556e-01,-1.447619047619047583e-01,-4.054989786807529306e+00,-1.163276065809794169e+01,-8.982564915740045564e+00,-2.185671717103524969e+01,2.540519373832943018e+00,2.482246047280824097e+00,7.737968427513369774e-01
9.499999999999999556e-01,-1.157142857142857695e-01,-4.136356119212261540e+00,-1.190763733998798912e+01,-9.154017333211310614e+00,-2.202602416584490186e+01,2.509820870921859903e+00,2.482246047280824097e+00,7.798744908090160521e-01
9.499999999999999556e-01,-8.666666666666666963e-02,-4.221520359754971530e+00,-1.220508629633626896e+01,-9.333327520897666929e+00,-2.221212470709856746e+01,2.477841592467416199e+00,2.482246047280824097e+00,7.862861423961386986e-01
9.499999999999999556e-01,-5.761904761904768080e-02,-4.310770313617930505e+00,-1.253162025637945831e+01,-9.521083470350832911e+00,-2.241558887600196570e+01,2.444400145687390946e+00,2.482246047280824097e+00,7.930798916345802585e-01
9.499999999999999556e-01,-2.857142857142858094e-02,-4.404424476909698960e+00,-1.289956091348666867e+01,-9.717935259611801158e+00,-2.263710761814555994e+01,2.409233008447588809e+00,2.482246047280824097e+00,8.003236319981464897e-01
9.499999999999999556e-01,4.761904761904078853e-04,-4.502836310598854475e+00,-1.334090578147298167e+01,-9.924603630150986788e+00,-2.287750153978844025e+01,2.371888017951417904e+00,2.482246047280824097e+00,8.081291016089252599e-01
1.074999999999999956e+00,-9.000000000000000222e-01,-2.450501535336014225e+00,-6.865901861828366037e+00,-5.626202899695813109e+00,-2.189428697329433859e+01,2.652407379920079133e+00,2.482246047280824097e+00,7.522704979987359097e-01
1.074999999999999956e+00,-8.709523809523809224e-01,-2.480305360825723948e+00,-6.950760563086524790e+00,-5.691842619744497789e+00,-2.123523265542333505e+01,2.636690165796539809e+00,2.482246047280824541e+00,7.552361777217108108e-01
1.074999999999999956e+00,-8.419047619047619335e-01,-2.510922298746603776e+00,-7.038094188490899406e+00,-5.759266209162038130e+00,-2.070719610970319735e+01,2.620678733008027894e+00,2.482246047280824097e+00,7.582767090238116126e-01
1.074999999999999956e+00,-8.128571428571428337e-01,-2.542387803394013712e+00,-7.128022201239182287e+00,-5.828551568714058995e+00,-2.027694107290990644e+01,2.604361887940987330e+00,2.482246047280824097e+00,7.613954508289634271e-01
1.074999999999999956e+00,-7.838095238095238448e-01,-2.574739478639354484e+00,-7.220672491988856301e+00,-5.899781336288334899e+00,-1.992248609707317897e+01,2.587727766551955355e+00,2.482246047280824097e+00,7.645959842054261824e-01
1.074999999999999956e+00,-7.547619047619047450e-01,-2.608017245859402422e+00,-7.316182204235039954e+00,-5.973043258969680025e+00,-1.962859631617422806e+01,2.570763777296241059e+00,2.482246047280824097e+00,7.678821323278398614e-01
1.074999999999999956e+00,-7.257142857142857562e-01,-2.642263528407802653e+00,-7.414698666139746486e+00,-6.048430601161198794e+00,-1.938432201601524341e+01,2.553456537480265354e+00,2.482246047280824097e+00,7.712579827803276444e-01
1.074999999999999956e+00,-6.966666666666666563e-01,-2.677523454232641598e+00,-7.516380453606460676e+00,-6.126042592927373853e+00,-1.918156324273583380e+01,2.535791802039321308e+00,2.482246047280824097e+00,7.747279125516876030e-01
1.074999999999999956e+00,-6.676190476190476675e-01,-2.713845078502299391e+00,-7.621398603356034585e+00,-6.205984923300008838e+00,-1.901418776773758879e+01,2.517754383547023966e+00,2.482246047280824097e+00,7.782966161402167238e-01
1.074999999999999956e+00,-6.385714285714285676e-01,-2.751279628758304341e+00,-7.729938008552529105e+00,-6.288370283941700833e+00,-1.887746547874386138e+01,2.499328062018875141e+00,2.482246047280824097e+00,7.819691372679873353e-01
1.074999999999999956e+00,-6.095238095238095788e-01,-2.789881776029836224e+00,-7.842199031098772366e+00,-6.373318969318796157e+00,-1.876769262407675853e+01,2.480495482765405324e+00,2.482246047280824097e+00,7.857509048070532298e-01
1.074999999999999956e+00,-5.804761904761904789e-01,-2.829709933601303185e+00,-7.958399378989757800e+00,-6.460959540415325719e+00,-1.868193464988508623e+01,2.461238040160075524e+00,2.482246047280824097e+00,7.896477736493465738e-01
1.074999999999999956e+00,-5.514285714285713791e-01,-2.870826588743782715e+00,-8.078776307520170619e+00,-6.551429560043834144e+00,-1.861784570529332328e+01,2.441535744685479514e+00,2.482246047280824541e+00,7.936660714165389985e-01
1.074999999999999956e+00,-5.223809523809523903e-01,-2.913298670093602993e+00,-8.203589220565502771e+00,-6.644876409005039619e+00,-1.857353920764877131e+01,2.421367069968914709e+00,2.482246047280824097e+00,7.978126521178506847e-01
1.074999999999999956e+00,-4.933333333333333459e-01,-2.957197956208020173e+00,-8.333122774550330902e+00,-6.741458193749038763e+00,-1.854749331345817609e+01,2.400708775658694449e+00,2.482246047280824097e+00,8.020949581396645822e-01
