rho,p_real,p_imag,branch
1.317476538844633560e-03,-1.273258504571914251e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.317476538844633560e-03,-1.381999924587984374e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.052815622419414621e-02,-1.288956930505114862e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.052815622419414621e-02,-1.378547845297669205e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.973883590954365885e-02,-1.307510322732576213e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.973883590954365885e-02,-1.372499683473544785e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.894951559489317844e-02,-1.336215314618005223e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.894951559489317844e-02,-1.356564233544309239e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.094951559489318021e-02,-1.347793895874969117e+01,1.017572119897924288e-01,2.000000000000000000e+00
3.094951559489318021e-02,-1.347793895874969117e+01,-1.017572119897924288e-01,3.000000000000000000e+00
4.677601467754652353e-02,-1.359133008574446855e+01,4.178765925594539743e-01,2.000000000000000000e+00
4.677601467754652353e-02,-1.359133008574446855e+01,-4.178765925594539743e-01,3.000000000000000000e+00
6.260251376019987379e-02,-1.370887881786889118e+01,5.829148817010392225e-01,2.000000000000000000e+00
6.260251376019987379e-02,-1.370887881786889118e+01,-5.829148817010392225e-01,3.000000000000000000e+00
7.842901284285321017e-02,-1.383074943201338769e+01,7.114142983281502852e-01,2.000000000000000000e+00
7.842901284285321017e-02,-1.383074943201338769e+01,-7.114142983281502852e-01,3.000000000000000000e+00
9.425551192550654656e-02,-1.395711822992105589e+01,8.208764639566300536e-01,2.000000000000000000e+00
9.425551192550654656e-02,-1.395711822992105589e+01,-8.208764639566300536e-01,3.000000000000000000e+00
1.100820110081598968e-01,-1.408817447705314230e+01,9.182793671274271929e-01,2.000000000000000000e+00
1.100820110081598968e-01,-1.408817447705314230e+01,-9.182793671274271929e-01,3.000000000000000000e+00
1.259085100908132471e-01,-1.422412144205480011e+01,1.007263497089735393e+00,2.000000000000000000e+00
1.259085100908132471e-01,-1.422412144205480011e+01,-1.007263497089735393e+00,3.000000000000000000e+00
1.417350091734665696e-01,-1.436517755305448851e+01,1.090023033532995012e+00,2.000000000000000000e+00
1.417350091734665696e-01,-1.436517755305448851e+01,-1.090023033532995012e+00,3.000000000000000000e+00
1.575615082561199198e-01,-1.451157768245523272e+01,1.168008798528365144e+00,2.000000000000000000e+00
1.575615082561199198e-01,-1.451157768245523272e+01,-1.168008798528365144e+00,3.000000000000000000e+00
1.733880073387732701e-01,-1.466357458020348403e+01,1.242245176089289194e+00,2.000000000000000000e+00
1.733880073387732701e-01,-1.466357458020348403e+01,-1.242245176089289194e+00,3.000000000000000000e+00
1.892145064214266204e-01,-1.482144046945113836e+01,1.313492335376841069e+00,2.000000000000000000e+00
1.892145064214266204e-01,-1.482144046945113836e+01,-1.313492335376841069e+00,3.000000000000000000e+00
2.050410055040799429e-01,-1.498546883258897999e+01,1.382337183570407690e+00,2.000000000000000000e+00
2.050410055040799429e-01,-1.498546883258897999e+01,-1.382337183570407690e+00,3.000000000000000000e+00
2.208675045867332931e-01,-1.515597640770788956e+01,1.449248013293263471e+00,2.000000000000000000e+00
2.208675045867332931e-01,-1.515597640770788956e+01,-1.449248013293263471e+00,3.000000000000000000e+00
2.366940036693866434e-01,-1.533330542872757007e+01,1.514609183953008920e+00,2.000000000000000000e+00
2.366940036693866434e-01,-1.533330542872757007e+01,-1.514609183953008920e+00,3.000000000000000000e+00
2.525205027520399659e-01,-1.551782614162414120e+01,1.578744142410503981e+00,2.000000000000000000e+00
2.525205027520399659e-01,-1.551782614162414120e+01,-1.578744142410503981e+00,3.000000000000000000e+00
2.683470018346933439e-01,-1.570993963891754852e+01,1.641931299841196124e+00,2.000000000000000000e+00
2.683470018346933439e-01,-1.570993963891754852e+01,-1.641931299841196124e+00,3.000000000000000000e+00
2.841735009173466664e-01,-1.591008105801197203e+01,1.704415350839671994e+00,2.000000000000000000e+00
2.841735009173466664e-01,-1.591008105801197203e+01,-1.704415350839671994e+00,3.000000000000000000e+00
2.999999999999999889e-01,-1.611872320031213945e+01,1.766415595835217234e+00,2.000000000000000000e+00
2.999999999999999889e-01,-1.611872320031213945e+01,-1.766415595835217234e+00,3.000000000000000000e+00
