n_coeffs,epsilon_radius,stokes_real,stokes_imag,distance_to_minus_one,chain_poles
6.000000000000000000e+01,3.499999999999999778e-01,-9.998750154844348037e-01,-4.368014149166255661e-02,4.368032030400866711e-02,4.000000000000000000e+00
6.500000000000000000e+01,1.799999999999999933e-01,-9.979453834361703413e-01,2.189655008522856453e-03,3.002671856982115205e-03,4.000000000000000000e+00
6.500000000000000000e+01,2.000000000000000111e-01,-9.950318151615965556e-01,7.377886104908956471e-04,5.022667878957551464e-03,4.000000000000000000e+00
6.500000000000000000e+01,2.250000000000000056e-01,-9.922937150082991042e-01,-3.803809243014778883e-03,8.593939325510689675e-03,4.000000000000000000e+00
6.500000000000000000e+01,2.500000000000000000e-01,-9.915864829936014146e-01,-1.037441357039334267e-02,1.335723494389912114e-02,4.000000000000000000e+00
6.500000000000000000e+01,2.750000000000000222e-01,-9.929234598086684738e-01,-1.788933732455191133e-02,1.923813429080732315e-02,4.000000000000000000e+00
6.500000000000000000e+01,2.999999999999999889e-01,-9.955343405026899628e-01,-2.563781473774155023e-02,2.602382868204971070e-02,4.000000000000000000e+00
6.500000000000000000e+01,3.250000000000000111e-01,-9.980771283828642204e-01,-3.327906690414162566e-02,3.333457258262539913e-02,4.000000000000000000e+00
6.500000000000000000e+01,3.499999999999999778e-01,-9.986140147348070428e-01,-4.070315444315587144e-02,4.072674473584565052e-02,4.000000000000000000e+00
7.000000000000000000e+01,1.799999999999999933e-01,-9.982922770572784099e-01,1.493159098737218901e-03,2.268444785142329726e-03,4.000000000000000000e+00
7.000000000000000000e+01,2.000000000000000111e-01,-9.959947648223308470e-01,6.234628068368876404e-04,4.053469464538666731e-03,4.000000000000000000e+00
7.000000000000000000e+01,2.250000000000000056e-01,-9.930582341126275026e-01,-2.741121037619410634e-03,7.463367750417246836e-03,4.000000000000000000e+00
7.000000000000000000e+01,2.500000000000000000e-01,-9.911406759102183717e-01,-8.680347600636684202e-03,1.240306646743716094e-02,4.000000000000000000e+00
7.000000000000000000e+01,2.750000000000000222e-01,-9.909936267835078860e-01,-1.668468527249637040e-02,1.896031331906210260e-02,4.000000000000000000e+00
7.000000000000000000e+01,2.999999999999999889e-01,-9.926430831164559931e-01,-2.593391687535745102e-02,2.695723039426203491e-02,4.000000000000000000e+00
7.000000000000000000e+01,3.250000000000000111e-01,-9.952239092849847202e-01,-3.556696561488777164e-02,3.588621024249655234e-02,4.000000000000000000e+00
